codigo,producto,precio_c_iva
C280,Cola F100 - 8 Cilindros Fase II (72/81),26545.84
C282,Cola F100 6 cilindros (82/84) y Perkins (82/90),17133.62
C283,Cola F100 6 cilindros (82/84) y Perkins (82/90),32858.23
C284,Cola F100 6 cilindros (86/89) y 6 cil. Max Econo (90/92),29476.59
C285,Cola derecha F100 (71/81),31449.21
C286,Cola izquierda F100 (71/81),31449.21
C289,Cola F100 6 cilindros Max Econo (95/96),32294.62
C290,Cola F100 - 6 cilind. (69/81) y 8 cilind. (66/72),26545.84
C297,Cola Ford F100 - Deutz (8290),52471.71
C298,Cola Ford F100 4.9 I y Turbo MWM (96/99),9919.46
C302,"Cola F100 - Perkins 6, 6/305, 4 Pot. y 4/203 (64/83)",26545.84
C308,Cola F100-Diesel MWM 4 cil.(93/95),37648.88
C309,Cola F100 HSD - Maxion 2.5 TD (96/99),45483
C310,Cola F. F100 Super Dutty - 3.9 TD Cummins (00/06),34379.96
C313,Sobre dif. Ford Taunus GLX (79/82),22938.76
C333,Cola Ford Focus 1.6 S/Baúl,18091.75
C334,Cola Ford Focus 1.6 I C/Baúl (04/12),20853.42
C365,Cola Jeep Ika,13864.71
C370,Cola Estanciera Ika,33760
C420,Sobre Diferencial Doble Torino 380W,32970.95
C435,Cola Renault 4L y 4S,22656.96
C466,Sobre diferencial Renault 18 y Break GTX (82/93),21586.11
C510,Sobre diferencial Peug. 504 (83/90) y 505 (81/92),18880.8
C523,Cola Peug. Pick Up 504 Nafta (81/99) y Diesel (93/99),24685.94
C550,Cola Rastrojero Indenor,16570.01
C561,Cola Mercedes Benz Sprinter 310D (97/00),43735.82
C586,Cola Toyota Hilux 3.0 TDI Cab.doble 4x2 (05/15),48357.39
C591,"Bronco F.100 en caño Ø3""",196754.83
C630,Cola Scania Camión 113 (Chasis largo),86344.43
C630/1,Cola Scania Camión 113 (Chasis corto),66110.98
C638,"Cola Reforma Scania 380, P94, T/R 114 y T/R 124",49315.52
C654,Cola Ford Cargo y Volkswagen (96/20),75297.75
C655,Cola Ford Cargo y Volkswagen (96/20),88260.69
C656,Cola Camión F. Cargo 1722 para tractor semi (98/20),73043.33
C680,Cola Mercedes Benz 608,28631.18
C690,"Cola Mercedes Benz 1112, 1114, 911",40748.71
C701,Cola Fiat Iveco 150(hasta 95),24911.38
C720,"Cola Universal larga  Ø2"" - 1m x 1m",33760
C722,"Cola Universal larga  Ø2"" 1/2 - 1m x 1m",40748.71
C723,"Cola Universal larga  Ø3"" - 1m x 1m",49710.04
C724,"Cola Universal larga  Ø3"" 1/2 - 1m x 1m",65829.17
C725,"Cola Universal larga  Ø4"" - 1m x 1m",77044.93
C726,"Cola Universal larga  Ø4"" 1/2 - 1m x 1m",86118.99
C735,"Sobrediferencial universal camión Ø4""",59234.98
C736,"Sobrediferencial Universal Camión Ø4"" 1/2",66110.98
C737,"Curva de 90° - Ø1"" 1/4",8397.73
C739,"Curva de 90° - Ø1"" 3/4",10313.99
C739/1,"Curva de 45° - Ø1"" 3/4",9017.7
C740,"Curva de 90° - Ø2""",10652.15
C740/1,"Curva de 45° - Ø 2""",9468.58
C741,"Curva de 90° - Ø2"" 1/4",11497.56
C741/1,"Curva de 45° - Ø2"" 1/4",10652.15
C742,"Curva de 90° - Ø2"" 1/2",13808.35
C742/1,"Curva de 45° - Ø2"" 1/2",12061.17
C743,"Curva de 90° - Ø3""",16006.41
C743/1,"Curva de 45° - Ø3""",13864.71
C743/2,"Curva de 90° - Ø3"" c/boquilla",17584.51
C744,"Curva de 90° - Ø3"" 1/2",22938.76
C744/1,"Curva de 45° - Ø3"" 1/2",20008.01
C745,"Curva de 90° - Ø4""",26264.04
C745/1,"Curva de 45° - Ø4""",22826.04
C745/2,"Curva de 90° - Ø4"" c/boquilla",28856.62
C746,"Curva de 90° - Ø4"" 1/2",31392.85
C746/1,"Curva de 45° - Ø4"" 1/2",28574.82
C815,Tapa p/Tractor Massey Ferguson 4-203 y 6-305,51682.67
C816,Tapa p/Tractor Massey Ferguson 6-354 FII y FIV,53035.32
C831,"Tapa p/Tractor 3""",55796.99
C836,"Tapa p/Tractor 3""1/2",56924.2
C880,Cola Reforma Deutz Fahr AX 4.170,54094.34
C5200,Cola Elimina Sil. Trasero Ford Escort 1.6,31900.1
C5218,Cola Ford Focus 1.6 - Zetec 1.8 I s/baúl (00/10),30716.52
C5219,Cola Ford Focus 1.6 y 2.0 I - C/Baúl (00/10),33252.75
C5220,Cola  Ford Focus II 1.6 y 2.0 s/Baul (08/13),32407.34
C5222,COLA LIBRE FORD FOCUS III 2.0 (13/20),41481.4
C5240,"Cola Derecha Ø2"" Ford F100 - Max Econo (90/94)",52415.35
C5241,"Cola izquierda Ø2"" Ford F100 - Max Econo (90/94)",51795.39
C5251,Cola Ford Ka 1.0 y 1.6 (10/14),26940.36
C5415,"Cola VW Gol 1.6 I, 1.8 I y 2.0 I (96/99)",36070.78
C5416,"Cola VW Gol 1.6 MI, Power - 1.4 y 1.0 I parag. envol.",37761.6
C5419,Cola VW Gol Trend 1.6,39846.94
C5445,Cola VW Fox y Cross Fox 1.6,43341.3
C5480,COLA VW UP 1.0 (14/21),40354.19
C5491/1,"Cola Deportiva Ø3"" VW Amarok 3.0 V6 (18->)",95157.4
C5600,"Cola elimina sil. trasero Ø2"" Fiat Uno",42495.89
C5601,"Cola Elimina Sil. Trasero Ø2"" Fiat Duna",45764.8
C5602,"Cola Elimina Sil. Trasero Ø2"" 1/4  Fiat Uno",40748.71
C5604,Cola Fiat Uno Evo 1.4 (10/16),37479.8
C5605,"Cola elimina Sil. trasero Ø2"" 1/4 Fiat Duna",44524.87
C5610,Cola Elimina sil. trasero Fiat 128,27842.13
C5615,"Cola Elimina Sil. Trasero Fiat 147 - 1100, 1300 y Tipo",25362.27
C5627,"Cola Elimina Sil. Tras. F. Palio 1.6 16V, 1.7 TD y 1.3 Fire",38268.84
C5629,Cola Elimina Sil. Tras. F. Palio Weekend 1.6 I y 1.7 Diesel,34154.52
C5646,Cola  Fiat Palio 1.4 Fire (07/14),37479.8
C5649,Cola Fiat Palio 1.6 E.torQ (12/17),40579.63
C5650,Cola Fiat Punto 1.4 y 1.8,39734.22
C5670,Cola libre Fiat Cronos 1.3 (18->),47793.73
C5810,Cola Elimina Sil. Tras. Peugeot 205,32407.34
C5833,Cola Peugeot 206 1.6 16V (04/13),33083.67
C5837,Cola Peugeot 208 1.5 y 1.6 16V,36972.55
C5839,Cola libre Peugeot 208 1.6 16V (19 ->),34718.13
C6010,Salto y cola Elimina Sil. Trasero R.18,43397.66
C6200,Cola Elimina Sil. Trasero Chev. Corsa 1.6 I s/Baúl,30378.36
C6201,Cola Elimina Sil. Tras. Chevrolet Corsa 1.6 I c/baúl,34887.21
C6280,Cola Chevrolet Onix 1.4 (13/19),34549.04
C6420,Cola Deportiva Toyota Pick Up Hilux 2.8 (16->),81159.18
C20162,Cola VW Saveiro 1.6 Reforma Gas (10/22),16356.35
C20200,COLA VW UP 1.0 (14/21),20120.73
C30600,COLA Fiat Mobi 1.0 8v y 1.0 3 cil. (16 ->),25363.82
C30710,Cola Fiat Doblo 1.4 16V Reforma Gas,19782.57
C30800,COLA Fiat Qubo 1.4 (12-16),15682.8
C40340,Cola Ford Focus II - 1.6 y 2.0 s/Baúl (08/13),18599
C90720,Cola camión Iveco Tector 170 E28 (16->),85104.5
CATL45,Catalizador Motores 1000 - 1600 c.c.,251027.26
CATL51,Catalizador Motores 1600 - 2200 c.c.,265571.12
D12,Salida Chevrolet 400 Super (66/74),37648.88
D30,Salida Chevette y GMC 500 (92/93),59854.95
D32,Salida Chevrolet Corsa 1.6 I 16V con y sin baúl (95/09),27391.25
D33/3,Salida Chevrolet Corsa Diesel con y sin baúl (96/06),73494.21
D37,Salida Chevrolet Corsa 1.8 I con y sin baúl (02/11),101561.79
D37/1,Salida Chev. Corsa 1.8 con y s/baúl (02/11) y Meriva 1.8,41819.56
D40,Salida Chevrolet Pick Up (66/72),40072.38
D45,Salida Chevrolet Pick Up (73/78),37310.71
D46,Salida Chevrolet Pick Up  Reforma Gas  (73/78),29082.07
D51,Salida Chevrolet D-20 (93/96) y Silverado Maxion (97/02),69267.17
D52,Sal.Chevr.Pick-up D-20-Turbo(96/98),78397.59
D58,Salida Chevrolet S-10 - Maxion y Blazer 2.5  TD (97/00),55120.66
D67,Salida Chev. Vectra 2.2 y 2.0 CD 16V,146650.27
D70,Salida Ch. Vectra 2.0 GT y Astra II 2.0 8V s/Baúl (07/11),108099.62
D74,Salida Chevrolet Astra - 2.0 con y sin baúl (99/06),115370.14
D78,Salida Chevrolet Meriva 1.8 I (03/13),101279.99
D90,Salida Dodge 1500 (71/73),52866.24
D100,Salida Dodge 1500 (73/82),40297.83
D101,Salida Dodge 1500 (73/82) y VW 1500 (83/92),67238.19
D104/1,Salida VW Golf - 2.0 GTI (96/99) c/antirrígido,113848.4
D110,Salida VW Polo - 1.6 I (97/09),62785.7
D111,Salida VW Polo - Diesel 1.9 (96/09),90233.31
D111/3,Salida VW Polo Diesel 1.9 (96/09) c/Flexible,97109.3
D127,Salida VW Gacel GL y Senda 1.6(83/95) y Gol Nac. 1.6(93/95),43848.54
D133,Salida VW Gacel GL y Senda 1.8 (88/95) y Gol 1.8 (92/93),59911.31
D134,Salida VW Gol 1.8 (94/95) y Saveiro 1.8 (94/97),60305.84
D140,Salida VW Saveiro 1.6 (92/94) y Gol Brasilero 1.6 (91/92),59404.07
D142,Salida VW Senda Diesel (90/95) y Saveiro 1.6 Diesel (92/94),40410.55
D145,Salida VW Gol - 1.6 I (96/98),49935.49
D145/1,Salida VW Gol Diesel 1.6 (96/99),77495.82
D147,Salida VW Gol 1.6 MI (98/11) y Gol Power 1.6 (09/11),60136.75
D147/1,Salida VW Gol Diesel 1.9 (99/05),88711.58
D148,Salida valiant IV - 2' mod. 68-71,52809.88
D162,"Salida Fiat Palio, Palio Weekend y Siena 1.6 I (97/01)",118131.81
D162/1,Salida Fiat Palio 1.6 16V (97/99),105056.15
D162/3,"Salida Fiat Palio, Palio Weekend y Siena 1.6 I (97/01)",54444.33
D162/4,"Salida Fiat Palio, Palio Weekend y Siena 1.6I (97/01) c/Flex",116159.18
D163,Salida Fiat Palio y Siena - Diesel 1.7 (97/01),77270.37
D163/1,"Salida Fiat Palio, Palio Weekend y Siena - Turbo Diesel 1.7",86851.68
D177,Salida Fiat Palio Fire 1.3 (01/06),94234.91
D177/3,Salida Fiat Palio Fire 1.3 (01/06) c/Flexible,107085.13
D185,Salida Fiat 1500,38437.93
D190,"Salida Fiat 128 - 1100, 1300 (71/91)",28405.74
D195,Salida Fiat Duna - 1300 (88/90),53711.65
D196,"Salida Fiat Uno 1500, Tipo 1.6 y Duna 1500, Tipo 1.6 y 1.4",52302.63
D197,Salida Fiat Duna y Duna Weekend - Diesel 1300,57375.09
D197/1,Salida Fiat Duna y Duna Weekend - Diesel 1.7 (92/97),37141.63
D200,Salida Fiat 125 y 125 Multicarga,48470.11
D206,Salida Fiat Uno Fire 1.3 I (04/15),87866.17
D206/1,Salida Fiat Uno Fire 1.3 I (04/15),55007.94
D214,"Salida Fiat 147 y Spazio - 1100, 1300 (83/91)",20853.42
D215,Salida Fiat Spazio y Fiorino - Diesel 1300,49597.32
D216,Salida Fiat Spazio y Fiorino Tipo 1.4,51795.39
D217,Salida Fiat Regatta 1.5 (85/90),44524.87
D222,Salida Fiat Regatta - 1.6 (90/95),57149.64
D226,"Salida Ford Falcon - 170, 187 (62/92)",37085.27
D227,"Salida 2do tramo F. Falcon 170, 187 (62/69) y 188 (70/82)",26545.84
D230,Salida enterizo Ford Falcon - 188 (70/82),47737.42
D231,Salida 1er tramo Ford Falcon - 188 (70/82),26545.84
D235,Salida enterizo c/Dif. Ford Falcon - 221 (70/82),53993.45
D236,Salida 1er trramo Ford Falcon - 221 (70/82),29983.84
D237,Salida 1er trramo Ford Falcon - 221 (70/82),29532.95
D240,"Salida enterizo c/Dif. Ford Falcon 188, 221 (82/89)",53598.93
D241,"Salida 1er tramo Ford Falcon 188, 221 (82/89)",29983.84
D242,"Salida 2do tramo Ford Falcon 188, 221 (82/89)",29532.95
D244,Salida enterizo Ford Falcon - Max Econo (90/92),112608.47
D250,Salida Ford Escort - 1.6 (86/90),55120.66
D252,"Salida Ford Escort - Audi 1.6, 1.8, XR3 (91/92)",57544.17
D252/1,"Salida c/Flex. Ford Escort - Audi 1.6, 1.8, XR3 (93/94)",92656.82
D252/2,"Salida s/Flex. Ford Escort - Audi 1.6, 1.8, XR3 (93/94)",53035.32
D260,Salida Ford Orion y Escort y VW Pointer (94/96),105957.92
D260/1,Salida s/Flex. Ford Orion y Escort y VW Pointer (94/96),66280.06
D263,Salida c/tuerca Sonda F. Escort Rural y Zetec 1.8 16V(97/03),140788.76
D264,Salida Ford Escort - Diesel 1.8 sin Baúl (97/03),100772.74
D280,Salida Ford F100 - 8 cilindros Fase II (72/81),51457.22
D281,Salida Ford F100 - 8 cilindros Fase II (72/81),33478.19
D290,Salida Ford F100 6 cilindros (69/81),31787.38
D291,Salida Ford F100 Reforma Gas (69/89),27391.25
D295,Salida Ford F100 - 6 cilindros Max Econo (93/96),58164.13
D296,Salida Ford F100 Reforma Gas (90/96),56529.68
D297,Salida Ford F100 Motor Deutz,56022.43
D299,Salida Ford F100 - Turbo MWM (96/99),27898.49
D302,Salida Ford F100 - Perkins 4/203 (69/81),47399.26
D303,Salida Ford F100 Perkins 4 potenciado (69/81),46722.93
D304,Salida Ford F100 Perkins 6 (64/68),48075.59
D305,Salida Ford F100 Perkins 6/305 (73/83),54669.78
D306,Salida Ford F100 Perkins 4/203 (82/90),35450.81
D307,Salida  Ford F100 Perkins 4 potenciado (82/90),33760
D308,Salida Ford F100 Diesel MWM 4 cilindros (93/95),39226.97
D309,Salida Ford F100 HSD - Maxion 2.5 TD (96/99),25869.51
D310,Salida Ford F100 Super Dutty - Cummins 3.9 TD (00/06),24122.33
D315,Salida Ford Taunus GLX (79/82),15724.61
D315/1,Salida Ford Taunus GLX (79/82) c/Protectores,32914.59
D320,"Salida Ford Galaxy 2.0 (92/95) y VW Carat - 1.8, 2.0 (87/91)",63462.03
D321,Salida Ford Galaxy - 2.0 I (93/95),66900.03
D324,Salida c/reemp. Cataliz. Ford Fiesta y Ecosport 1.6I (02/07),68196.32
D327,Salida c/reemplaza Catalizador Ford Ka 1.0 I (97/08),52302.63
D333,Salida c/Reemp. Catal. Ford Focus 1.6 I con y s/Baúl (04/08),71521.59
D340,Salida Ford Sierra 1.6 GL (87/92),59685.87
D342,Salida Ford Sierra 2.3 (84/93),47511.98
D344,Salida Ford Sierra XR4 Coupe y Ghia S (85/93),44017.62
D367,Salida Jeep Ika,30152.92
D370,Salida Ford Ranger 2.8 (02/04),28912.98
D371,Salida Ford Ranger 3.0 (06/12),20458.9
D380,Salida Renault R19 RN 1.6 s/Baúl y RE 1.6 c/Baúl,27391.25
D382,Salida Renault R19 RT - 1700  c/Baúl  (92/94),46102.97
D383,Salida Renault R19 - Diesel 1.9 (95/99) con y s/Baúl,27729.41
D384,Salida Renault R19 RN - 1.6 I (95/97),36634.39
D390,Salida Renault Clio 1.4 I (94/99),46892.01
D391,Salida Renault Clio 1.6 I (96/99),36747.11
D392,Salida Renault Clio y Express - Diesel 1.9 (96/00),27053.09
D393,Salida Renault Clio II - Diesel 1.9 con y s/Baúl (00/03),69548.97
D393/1,Salida Renault Clio II - 1.5 DCI  con y s/Baúl  (03/10),68534.48
D394,Salida Renault Clio II - 1.6 16V  con y s/Baúl  (00/09),106465.16
D394/3,Salida Renault Clio II -1.6 16V con y s/Baúl (00/09) c/Flex.,111988.5
D396,Salida Renault Clio II - 1.2 16V con y s/Baúl,54106.17
D406,Salida Renault Megane RT - 1.6 I (97/99),64138.36
D406/1,Salida Renault Megane 1.6 16V y Scenic 1.6 y 2.0 16V,107817.82
D406/3,Salida Renault Megane 1.6 16V y Scenic 1.6 y 2.0 16V c/Flex.,113622.96
D407,"Salida Renault Megane RT, RXE y Scenic 2.0 I",85724.46
D408,Salida Renault Megane y Scenic - TD 1.9,85668.1
D408/3,Salida Renault Megane y Scenic 1.9 TD  c/Flexible,91135.08
D409,Salida Renault Megane II - 1.6 16V c/Baúl (06/11),113341.16
D420,Salida Torino 380W - 7 bancadas (76/82),95587.57
D424,Salida Renault Trafic - 1400,44073.98
D425,Salida Renault Trafic 2000 y Diesel,63236.59
D430,Salida Renault 4L y 4S,9186.78
D435,"Salida Renault 4L y 4S, Renault 6 - 2da serie",9186.78
D440,"Salida Renault 21, 21 Alize y 21 Nevada (89/96)",62785.7
D460,Salida Renault 12 - 1400 y 12 Break,38776.09
D462,Salida Renault 12 1600 Caja 5ta.,39283.33
D467,Salida Renault 18 y Break GTX (82/93) y Fuego (83/89),62954.78
D468,Salida Renault 18 - Diesel (89/93),64983.77
D475,Salida Renault 18 - 1400 (84/88),38437.93
D476,Salida Renault 18 - 1600 Paragolpes envolvente (89/91),46497.49
D480,Salida Renault 11 TL - 1400 (84/86),14484.67
D480/1,Salida Renault 9 y 11 TS - 1400; Renault 9 y 11 - 1600,13921.07
D481,Salida Renault 9 TXE - 1600 (88/93),18429.91
D487,Salida Renault Kangoo 1.6 16V (05/18),106296.08
D490,Salida Peugeot 404 (66/80) y Pick Up T5 (73/81),37028.91
D495,Salida Peugeot 404 Diesel (71/78),22938.76
D500,Salida Peugeot 504 (69/82),35338.09
D510,Salida Peugeot 505 (81/82) y Pick Up 504 Nafta (81/99),39170.61
D511,Salida Peugeot 504 (83/98) y 505 (83/94),41650.48
D522,Salida Peugeot Pick Up 504 Diesel ligero (93/99),18824.44
D530,Salida Peugeot 504 Diesel Ligero (88/98),33590.91
D535,Salida Peugeot 405 SR (93/99),33478.19
D540,Salida Peugeot 306 1.8 I (96/98) Reemplaza Catalizador,73437.85
D549,Salida Peugeot 206 Diesel 1.9 (99/06),65321.93
D550,Salida Rastrojero Indenor,34549.04
D551,Salida Peugeot 206 1.6 16V y 1.4 8V (04/09) Reemp. Cataliz.,61094.88
D551/1,Reemplaza Catalizador Peugeot 206 y 307 1.6 16V,47906.51
D551/2,Camara reempl. Catal. Universal,38388.25
D580,Salida Toyota Pick Up - Diesel  (81/83),60869.44
D582,Salida Toyota Pick Up Hilux 4x2 - 2.8 Diesel (96/01),61602.13
D583,Salida Toyota Pick Up Hilux 4x4 - 2.8 Diesel (96/01),62391.18
D584,Salida Toyota Pick Up Hilux - Diesel 3.0 Doble Cab. (02/05),65547.37
D630,Salida Scania Camion 113,139605.19
D651,"Salida Ford F600, F700 - Perkins 6/354 (66/72)",31449.21
D651/1,"Salida Ford F600, F700 - Perkins 6/354 (73/90)",31449.21
D655,Salida Camión Ford Cargo 1722 (98/20),134307.3
D680,Salida Camión Mercedes Benz 608,36916.19
D681,Salida Mercedes Benz 710 (93/00),64927.4
D691,"Salida Camión M. Benz 1112, 1114, 911",55007.94
D692,Salida Camión M. Benz 1114 (84/90),55966.07
D694,Salida Camión Mercedes Benz 1517,62222.1
D695/1,Salida Camión M. Benz 1620 (94/98),96940.22
D697,"Salida Mercedes Benz 1215, 1720",72648.81
D700,Salida Camión Fiat 619,55853.35
D704,Salida Iveco Daily 4910 Turbo (98/00),29138.43
D2264,Salida Ford Fiesta Diesel 1.8 (95/96),75185.03
D2265,Salida Ford Fiesta 1.3 I (95/96),57995.05
D2560,Salida Peugeot 307 1.6 16V con y s/Baúl (01/12),64814.68
D2650,"Salida Fiat Uno 70S, SX y 1300 IE (92/94)",52302.63
D5240,Salida Derecha c/Silenc. Ford F100 - Max Econo (90/94),106577.88
D5241,Salida Izquierda c/Silenc. Ford F100 - Max Econo (90/94),114017.48
D5275,Downpipe Ford Ranger 2.2 XL y XLT (11/16),162149.43
D5276,Downpipe Ford Ranger 2.2 150 CV (17/20),187736.27
D5277,Downpipe Ford Ranger 2.2 160 CV (21/23),199242.45
D5278,Downpipe Ford Ranger 3.2 XLS 200CV (17 ->),191344.22
D5279,Downpipe Ford Ranger 3.2  200CV (11/16),165930.34
D5280,"Downpipe Ford Ranger 3.2 XLT, LTD y FX4 (18 ->)",202898.14
D5282,Downpipe Ford Ranger 3.0 V6 (23 ->),250719.57
D5283,Downpipe Ford Ranger 2.0 BiTurbo (23 ->),157775.09
D5284,Downpipe Ford Ranger 2.0 T (23 ->),149497.22
D5290,Downpipe Ford Transit 2.2 TD (12/23),197142.89
D5292,Downpipe Ford Transit  2.0 T (23 ->),217313.31
D5300,Downpipe Ford Maverick 2.0 T (21 ->),244052.73
D5301,Downpipe acople orig. Ford Maverick 2.0 T (21 ->),223915.8
D5433,Salida VW Polo 1.6 MSI (17->),91304.16
D5460,Salida Motor VW Bora 1.8T,197262.08
D5475,Salida Motor VW Vento 2.0 T (07/15),177197.71
D5476,Downpipe  VW Vento 1.4 T (19/23),227552.49
D5477,Downpipe  VW Vento 1.4 T Sin Brida (19/23),214484.14
D5480,Salida VW Up 1.0 (14/21),96940.22
D5487,Downpipe VW Amarok 2.0 TDI 122CV y 140CV (10/18),119146.3
D5488,Downpipe VW Amarok 2.0 140CV (18->),167729.13
D5489,Downpipe VW Amarok 2.0 163CV (10/13),121288
D5490,Downpipe VW Amarok 3.0 V6 (18 ->),205716.17
D5491,Downpipe VW Amarok 2.0 180CV (14/18),121062.56
D5492,Downpipe VW Amarok 2.0 180CV (18 ->),152455.41
D5600,Salida Fiat Uno y Duna (88/98),46892.01
D5610,"Salida Fiat 128 (71/91) caño Ø2""",50386.37
D5615,"Salida Fiat 147 - 1100, 1300 (83/91)",48413.75
D5660,Downpipe Fiat Toro 2.0 TD (16 ->),177535.87
D5670,Salida Fiat Cronos 1.3 (18->),133687.09
D5827,Downpipe Peugeot Partner 1.6 HDI (17/21),103196.06
D5836,"Downpipe Peugeot 207, 208 y 308 1.6 THP",109057.75
D6140,Downpipe Alaskan - Frontier 2.3 TD (18 ->),118789.2
D6200,Salida Chevrolet Corsa 1.6 c/ y s/Baúl (95/09) y Pick Up 1.6,48695.55
D6220,Downpipe Chevrolet S-10 2.8 TD (13/18),103421.69
D6222,Downpipe Chevrolet S-10 2.8 TD (18/22),110748.57
D6275,Downpipe Chevrolet Cruze 1.4 T (16/24),135254.9
D6285,Downpipe Chevrolet Tracker 1.2 T (20->),150436.6
D6420,Downpipe Toyota Hilux 2.8 y 2.4 (18 ->),180353.9
D6420/1,Downpipe Toyota Hilux 2.8 y 2.4 (16/18)  s/Tuercas Sensores,147705.14
D7200,Downpipe M. Benz Vito 111  1.6 CDI,120949.62
D7400,Downpipe Iveco Daily 70-170 ( 20 ->),263096.22
D20114,"Salida Fox, Cross Fox y Suran 1.6 (04/10)",115595.58
D20147,Salida VW Gol Power 1.4 (12/15),70450.74
D30500,Salida Fiat Cronos 1.3 AT y MT (18->),72028.71
D30800,Salida Fiat Qubo 1.4 (12-16),66807.97
D40108,Salida Ford Ecosport 1.5 (17/22),102688.83
D40311,Salida Ford F100 - Cummins TD 3.9 (06/12),31561.93
D40330,Salida Ford Focus 1.8 s/Baúl (00/05) y 2.0 c/Baúl (00/08),80764.73
D50399,Salida Renault Clio Mio 1.2 (12/17),57544.17
D50401,Salida Renault Sandero y Logan 1.6 16V (13/19),55515.09
D50450,Salida Renault Sandero y Logan 1.6 8V (08/13),64814.68
D50490,Salida Kangoo II 1.6 Sce (18->),58939.03
D50700,"Salida Reemp. Catal. R. Duster,Logan,Oroch y Sandero 1.6 16V",53937.09
D50704,Salida Reemp. Catal. Renault Duster 2.0 4x4 (12/18),119935.34
D60112,Salida Peugeot Partner 1.4 (10/17),79299.36
D60200,Salida Peugeot 307 1.6 16V (10/12) y 308 1.6 16V (12/22),68759.93
D60560,Salida Peugeot 207 - 1.4 (08/16) y 1.6 16V (08/13),100716.38
