codigo,producto,precio_c_iva,,,,
CU-851,"Cupla Ø5"" - Largo: 200mm - Aboq. a Ø5"" 1/8",13082.31,,,,
CUD-880,"Cupla Doble Ø1"" 1/2 - Largo: 160 mm",7085.33,,,,
CUD-881,"Cupla Doble Ø1"" 5/8 - Largo: 180 mm",7783.12,,,,
CUD-882,"Cupla Doble Ø1"" 3/4 - Largo: 180 mm",8158.85,,,,
CUD-883,"Cupla Doble Ø1"" 7/8 - Largo: 180 mm",8427.23,,,,
CUD-884,"Cupla Doble Ø2"" - Largo: 180 mm",8749.3,,,,
CUD-885,"Cupla Doble Ø2"" 1/4 - Largo: 180 mm",9447.09,,,,
CUD-886,"Cupla Doble Ø2"" 1/2 - Largo: 220 mm",11272.11,,,,
CUD-887,"Cupla doble  3""",13097.11,,,,
CUD-888,"Cupla Doble Ø3"" 1/2 - Largo: 240 mm",17552.27,,,,
CUD-889,"Cupla Doble Ø4"" - Largo: 240 mm",20075.08,,,,
CUD-890,"Cupla Doble Ø4"" 1/2 - Largo: 260 mm",24369.2,,,,
CUD-891,"Cupla doble  5""",25952.29,,,,
D-9300,Salida motor Yamaha FZ-16,30721.96,,,,
D-9400,Salida motor Yamaha Crypton T105,23595.23,,,,
E-920,Espárrago p/Múltiple  Fiat 600,536.77,,,,
E-921,Espárrago p/Múltiple  Fiat 125 - 1500 - R12,536.77,,,,
E-924,Espárrago p/Múltiple  Ford Sae - Torino 7 banc.,751.47,,,,
E-925,Espárrago p/Múltiple  Chevrolet,644.12,,,,
E-926,Espárrago p/Múltiple  Dodge 1500 - Perkins,1073.54,,,,
E-927,Espárrago p/Múltiple  Torino 4 banc.,1073.54,,,,
E-928,Espárrago p/Múltiple  Peugeot,966.18,,,,
E-929,Espárrago p/Múltiple  F100 - Falcon,751.47,,,,
E-930,Espárrago p/Múltiple  F100 - Fase II,1502.95,,,,
E-931,Espárrago p/Múltiple  Ford Taunus,1556.63,,,,
E-932,Espárrago p/Múltiple  Toyota,966.18,,,,
E-933,Espárrago p/Múltiple  R11,1610.3,,,,
E-934,Espárrago p/Múltiple  Renault R19,3113.25,,,,
E-935,Espárrago p/Múltiple  Rastrojero,1073.54,,,,
FLEX-50,"Flexible Ø1"" 3/4 x 100 mm con boquilla",36768.58,,,,
FLEX-50/1,"Flexible Ø1"" 3/4 x 100 mm",25764.84,,,,
FLEX-51,"Flexible Ø1"" 3/4 x 200 mm con boquilla",42619.34,,,,
FLEX-52,"Flexible Ø2"" x 100 mm con boquilla",39989.18,,,,
FLEX-52/1,"Flexible Ø2"" x 100 mm",27375.15,,,,
FLEX-53,"Flexible Ø2"" x 200 mm con boquilla",57970.9,,,,
FLEX-54,"Flexible Ø2"" 1/2 x 200 mm con boquilla",68169.48,,,,
FLEX-55,"Flexible Ø3"" x 200 mm con boquilla",77831.3,,,,
FLEX-55/1,"Flexible Ø3"" x 100 mm",63875.34,,,,
FLEX-56,"Flexible Ø3"" 1/2 x 230 mm con boquilla",159956.73,,,,
FLEX-57,"Flexible Ø4"" x 220 mm con boquilla",187868.65,,,,
JMU-9000,Junta M£ltiple Toyota Hilux 3.0 (01/05),7336.87,,,,
JMU-9001,Junta M£ltiple Fiat 147 Tipo.Uno y Duna 1.4 y 1.6,8478.17,,,,
JMU-9002,Junta M£ltiple Chevrolet Astra. Vectra 2.0 8V,8478.17,,,,
JMU-9003,Junta M£ltiple Chevrolet Corsa 1.6 18V,9290.19,,,,
